,nox,nox_categoria
405,41.01971,Medio
406,38.14421,Medio
407,43.231,Medio
408,39.42110333333333,Medio
409,32.19403333333333,Medio
410,23.79819,Bajo
411,21.51095666666667,Bajo
412,20.29042,Bajo
413,23.0864,Bajo
414,31.205983333333336,Bajo
415,45.5331,Medio
416,74.97075,Alto
417,68.3015,Alto
418,61.35556666666667,Alto
419,48.72783333333333,Medio
420,32.3255,Medio
421,25.788766666666664,Bajo
422,18.45543333333333,Bajo
423,16.95112333333333,Bajo
424,12.645256666666668,Bajo
425,16.281466666666667,Bajo
426,20.2866,Bajo
427,27.8553,Bajo
428,23.72257,Bajo
429,26.497733333333333,Bajo
430,27.87643333333333,Bajo
431,26.855933333333336,Bajo
432,19.98483333333333,Bajo
433,21.043033333333334,Bajo
434,14.7639,Bajo
435,17.008333333333333,Bajo
436,18.38113333333333,Bajo
437,20.384466666666665,Bajo
438,27.59763333333333,Bajo
439,42.8921,Medio
440,42.581,Medio
441,35.9048,Medio
442,29.3215,Bajo
443,31.90093333333333,Medio
444,21.5422,Bajo
445,18.465766666666667,Bajo
446,19.8849,Bajo
447,14.948,Bajo
448,12.978866666666669,Bajo
449,11.825933333333332,Bajo
450,11.8304,Bajo
451,12.0833,Bajo
452,30.4287,Bajo
453,35.47495,Medio
454,22.61273333333333,Bajo
455,20.38376666666667,Bajo
456,25.680566666666664,Bajo
457,26.0486,Bajo
458,28.588933333333333,Bajo
459,23.9656,Bajo
460,26.727733333333333,Bajo
461,24.51207,Bajo
462,28.437383333333333,Bajo
463,31.44173333333333,Bajo
464,36.60583333333333,Medio
465,35.472433333333335,Medio
466,31.124166666666667,Bajo
467,25.70606666666667,Bajo
468,19.0189,Bajo
469,13.51955,Bajo
470,9.904436666666667,Bajo
471,9.76475,Bajo
472,8.00596,Bajo
473,6.849729999999999,Bajo
474,12.9683,Bajo
475,22.9101,Bajo
476,30.7805,Bajo
477,28.4773,Bajo
478,20.4592,Bajo
479,28.1995,Bajo
480,19.4971,Bajo
481,12.0893,Bajo
482,14.6054,Bajo
483,10.2423,Bajo
484,9.95875,Bajo
485,9.6752,Bajo
486,28.3457,Bajo
487,41.8454,Medio
488,66.101,Alto
489,64.7081,Alto
490,77.11195000000001,Alto
491,67.04885,Alto
492,43.75895,Medio
493,38.3637,Medio
494,36.1595,Medio
495,30.68865,Bajo
496,31.4562,Bajo
497,31.199150000000003,Bajo
498,21.3925,Bajo
499,28.2707,Bajo
500,36.6668,Medio
501,31.50915,Bajo
502,34.6239,Medio
503,38.39505,Medio
504,22.57345,Bajo
505,23.6941,Bajo
506,11.7452,Bajo
507,15.36945,Bajo
508,14.2578,Bajo
509,22.2805,Bajo
510,23.8365,Bajo
511,46.1512,Medio
512,87.1324,Alto
513,78.40845,Alto
514,50.04315,Medio
515,40.2813,Medio
516,33.87045,Medio
517,14.6124,Bajo
518,10.02865,Bajo
519,11.73685,Bajo
520,12.7786,Bajo
521,13.5195,Bajo
522,17.2908,Bajo
523,27.822650000000003,Bajo
524,29.651200000000003,Bajo
525,33.00925,Medio
526,31.79205,Medio
527,32.4173,Medio
528,25.3804,Bajo
529,25.5344,Bajo
530,19.4164,Bajo
531,15.65885,Bajo
532,21.9249,Bajo
533,24.39475,Bajo
534,42.5542,Medio
535,75.2815,Alto
536,76.35074999999999,Alto
537,77.41999999999999,Alto
538,78.48925,Alto
539,79.5585,Alto
540,41.1918,Medio
541,21.89005,Bajo
542,16.24745,Bajo
543,15.2313,Bajo
544,15.50045,Bajo
545,13.8392,Bajo
546,15.40275,Bajo
547,18.2147,Bajo
548,27.9955,Bajo
549,29.0699,Bajo
550,28.94385,Bajo
551,21.52395,Bajo
552,19.10335,Bajo
553,24.1234,Bajo
554,25.6048,Bajo
555,19.0509,Bajo
556,22.2477,Bajo
557,30.7825,Bajo
558,54.9426,Alto
559,66.9623,Alto
560,67.63946666666666,Alto
561,68.31663333333333,Alto
562,68.9938,Alto
563,47.21625,Medio
564,29.63165,Bajo
565,23.23825,Bajo
566,20.6001,Bajo
567,18.67425,Bajo
568,20.21345,Bajo
569,23.23305,Bajo
570,20.7339,Bajo
571,24.5522,Bajo
572,33.23505,Medio
573,38.1952,Medio
574,25.7064,Bajo
575,26.1221,Bajo
576,33.8212,Medio
