,no,no_sqrt
2825,1.9872333333333327,1.4096926378942798
2826,4.4833,2.1173804570742596
2827,7.529366666666667,2.7439691446272985
2828,14.047766666666666,3.7480350407469065
2829,17.997899999999998,4.242393192527067
2830,17.025833333333335,4.1262371882059
2831,15.268833333333331,3.9075354551601102
2832,11.781366666666663,3.432399549392038
2833,9.0255,3.0042469938405527
2834,8.678266666666667,2.9458897920096514
2835,10.000633333333331,3.1623777973754703
2836,11.545933333333332,3.397930742868861
2837,15.541766666666666,3.942304740461684
2838,32.63835,5.712998337125612
2839,64.26045,8.016261597527865
2840,85.6192,9.253064357281863
2841,61.77335000000001,7.85960240724682
2842,37.9275,6.158530668917709
2843,15.5147,3.938870396446169
2844,6.84335,2.6159797399827087
2845,2.8409,1.685496959356498
2846,3.5344,1.8800000000000001
2847,6.33785,2.5175086891607745
2848,5.4321,2.3306865941177075
2849,3.71535,1.9275243189127342
2850,4.2805,2.0689369250897913
2851,5.92315,2.4337522470457014
2852,23.872400000000003,4.885939009033986
2853,12.60055,3.5497253414877044
2854,2.9574,1.7197092777559815
2855,4.78515,2.187498571428105
2856,4.85325,2.203009305472857
2857,3.09885,1.760355077818109
2858,1.21945,1.1042871003502666
2859,1.97345,1.4047953587622646
2860,2.6189,1.6183015788165072
2861,3.5337,1.8798138205684094
2862,2.18,1.47648230602334
2863,3.9962,1.9990497742677644
2864,5.2819666666666665,2.2982529596775603
2865,6.567733333333333,2.5627589300075284
2866,7.8535,2.8024096774026455
2867,4.15765,2.0390316329081313
2868,14.199933333333336,3.768279890524765
2869,29.9916,5.476458709786827
2870,19.719066666666667,4.4406155729433126
2871,21.129366666666662,4.59666908387657
2872,23.2191,4.818620134436829
2873,22.009366666666665,4.691414143588974
2874,22.08393333333333,4.699354565611466
2875,40.582550000000005,6.370443469649503
2876,32.68016666666667,5.716656948485423
2877,34.9692,5.913476135066413
2878,26.66893333333334,5.164197259335989
2879,24.448833333333337,4.944576153052285
2880,16.450066666666668,4.055868176687535
2881,12.701066666666668,3.5638555900410256
2882,9.1253,3.020811149343831
2883,9.274566666666669,3.0454173222510357
2884,8.8481,2.974575599980609
2885,14.856666666666667,3.8544346753663716
2886,19.24275,4.386655901709182
2887,22.7976,4.774683235566523
2888,27.44725,5.239012311495364
2889,15.008933333333331,3.874136462920909
2890,5.416566666666665,2.32735185708278
2891,1.864,1.365283853270081
2892,1.3047,1.1422346518995123
2893,2.117633333333333,1.4552090342398694
2894,1.8367666666666669,1.3552736501041651
2895,1.9338666666666664,1.3906353464034582
2896,1.7589333333333332,1.3262478400862086
